shelf_id,expected_sku
A-01-01,SKU-1000
B-01-02,SKU-1001
C-01-03,SKU-1002
D-01-04,SKU-1003
A-02-05,SKU-1004
B-02-01,SKU-1005
C-02-02,SKU-1006
D-02-03,SKU-1007
A-03-04,SKU-1008
B-03-05,SKU-1009
C-03-01,SKU-1010
D-03-02,SKU-1011
A-04-03,SKU-1012
B-04-04,SKU-1013
C-04-05,SKU-1014
D-04-01,SKU-1015
A-05-02,SKU-1016
B-05-03,SKU-1017
C-05-04,SKU-1018
D-05-05,SKU-1019
A-06-01,SKU-1020
B-06-02,SKU-1021
C-06-03,SKU-1022
D-06-04,SKU-1023
A-07-05,SKU-1024
B-07-01,SKU-1025
C-07-02,SKU-1026
D-07-03,SKU-1027
A-08-04,SKU-1028
B-08-05,SKU-1029
C-08-01,SKU-1030
D-08-02,SKU-1031
A-09-03,SKU-1032
B-09-04,SKU-1033
C-09-05,SKU-1034
D-09-01,SKU-1035
A-10-02,SKU-1036
B-10-03,SKU-1037
C-10-04,SKU-1038
D-10-05,SKU-1039
A-11-01,SKU-1040
B-11-02,SKU-1041
C-11-03,SKU-1042
D-11-04,SKU-1043
A-12-05,SKU-1044
B-12-01,SKU-1045
C-12-02,SKU-1046
D-12-03,SKU-1047
A-13-04,SKU-1048
B-13-05,SKU-1049
C-13-01,SKU-1050
D-13-02,SKU-1051
A-14-03,SKU-1052
B-14-04,SKU-1053
C-14-05,SKU-1054
D-14-01,SKU-1055
A-15-02,SKU-1056
B-15-03,SKU-1057
C-15-04,SKU-1058
D-15-05,SKU-1059
A-16-01,SKU-1060
B-16-02,SKU-1061
C-16-03,SKU-1062
D-16-04,SKU-1063
A-17-05,SKU-1064
B-17-01,SKU-1065
C-17-02,SKU-1066
D-17-03,SKU-1067
A-18-04,SKU-1068
B-18-05,SKU-1069
C-18-01,SKU-1070
D-18-02,SKU-1071
A-19-03,SKU-1072
B-19-04,SKU-1073
C-19-05,SKU-1074
D-19-01,SKU-1075
A-20-02,SKU-1076
B-20-03,SKU-1077
C-20-04,SKU-1078
D-20-05,SKU-1079
A-21-01,SKU-1080
B-21-02,SKU-1081
C-21-03,SKU-1082
D-21-04,SKU-1083
A-22-05,SKU-1084
B-22-01,SKU-1085
C-22-02,SKU-1086
D-22-03,SKU-1087
A-23-04,SKU-1088
B-23-05,SKU-1089
C-23-01,SKU-1090
D-23-02,SKU-1091
A-24-03,SKU-1092
B-24-04,SKU-1093
C-24-05,SKU-1094
D-24-01,SKU-1095
A-25-02,SKU-1096
B-25-03,SKU-1097
C-25-04,SKU-1098
D-25-05,SKU-1099
