timestamp,shelf_id,detected_sku,confidence,software_version
2026-07-09T09:00:00,A-01-01,SKU-1000,0.891,v1.0-baseline
2026-07-09T09:00:01,B-01-02,SKU-1001,0.899,v1.0-baseline
2026-07-09T09:00:02,C-01-03,SKU-1002,0.904,v1.0-baseline
2026-07-09T09:00:03,D-01-04,SKU-1003,0.975,v1.0-baseline
2026-07-09T09:00:04,A-02-05,SKU-1004,0.975,v1.0-baseline
2026-07-09T09:00:05,B-02-01,SKU-1005,0.881,v1.0-baseline
2026-07-09T09:00:06,C-02-02,SKU-1006,0.913,v1.0-baseline
2026-07-09T09:00:07,A-03-04,SKU-1008,0.915,v1.0-baseline
2026-07-09T09:00:08,B-03-05,SKU-1009,0.938,v1.0-baseline
2026-07-09T09:00:09,C-03-01,SKU-1010,0.902,v1.0-baseline
2026-07-09T09:00:10,D-03-02,SKU-1011,0.965,v1.0-baseline
2026-07-09T09:00:11,A-04-03,SKU-1012,0.897,v1.0-baseline
2026-07-09T09:00:12,C-04-05,SKU-1014,0.881,v1.0-baseline
2026-07-09T09:00:13,D-04-01,SKU-1015,0.939,v1.0-baseline
2026-07-09T09:00:14,A-05-02,SKU-1016,0.884,v1.0-baseline
2026-07-09T09:00:15,B-05-03,SKU-1017,0.907,v1.0-baseline
2026-07-09T09:00:16,C-05-04,SKU-1018,0.977,v1.0-baseline
2026-07-09T09:00:17,D-05-05,SKU-1019,0.964,v1.0-baseline
2026-07-09T09:00:18,A-06-01,SKU-1020,0.983,v1.0-baseline
2026-07-09T09:00:19,B-06-02,SKU-1021,0.946,v1.0-baseline
2026-07-09T09:00:20,C-06-03,SKU-1022,0.95,v1.0-baseline
2026-07-09T09:00:21,D-06-04,SKU-1023,0.881,v1.0-baseline
2026-07-09T09:00:22,A-07-05,SKU-1024,0.918,v1.0-baseline
2026-07-09T09:00:23,B-07-01,SKU-1025,0.907,v1.0-baseline
2026-07-09T09:00:24,C-07-02,SKU-1026,0.973,v1.0-baseline
2026-07-09T09:00:25,D-07-03,SKU-1027,0.898,v1.0-baseline
2026-07-09T09:00:26,A-08-04,SKU-1028,0.895,v1.0-baseline
2026-07-09T09:00:27,B-08-05,SKU-1029,0.898,v1.0-baseline
2026-07-09T09:00:28,C-08-01,SKU-1030,0.987,v1.0-baseline
2026-07-09T09:00:29,D-08-02,SKU-1031,0.985,v1.0-baseline
2026-07-09T09:00:30,A-09-03,SKU-1032,0.919,v1.0-baseline
2026-07-09T09:00:31,B-09-04,SKU-1033,0.946,v1.0-baseline
2026-07-09T09:00:32,C-09-05,SKU-1034,0.881,v1.0-baseline
2026-07-09T09:00:33,D-09-01,SKU-1035,0.91,v1.0-baseline
2026-07-09T09:00:34,A-10-02,SKU-1036,0.956,v1.0-baseline
2026-07-09T09:00:35,B-10-03,SKU-1037,0.51,v1.0-baseline
2026-07-09T09:00:36,C-10-04,SKU-1038,0.927,v1.0-baseline
2026-07-09T09:00:37,D-10-05,SKU-1039,0.978,v1.0-baseline
2026-07-09T09:00:38,A-11-01,SKU-1040,0.933,v1.0-baseline
2026-07-09T09:00:39,B-11-02,SKU-1041,0.918,v1.0-baseline
2026-07-09T09:00:40,C-11-03,SKU-1042,0.908,v1.0-baseline
2026-07-09T09:00:41,D-11-04,SKU-1043,0.916,v1.0-baseline
2026-07-09T09:00:42,A-12-05,SKU-1044,0.982,v1.0-baseline
2026-07-09T09:00:43,B-12-01,SKU-WRONG-87,0.93,v1.0-baseline
2026-07-09T09:00:44,C-12-02,SKU-1046,0.922,v1.0-baseline
2026-07-09T09:00:45,D-12-03,SKU-1047,0.883,v1.0-baseline
2026-07-09T09:00:46,A-13-04,SKU-1048,0.969,v1.0-baseline
2026-07-09T09:00:47,B-13-05,SKU-1049,0.911,v1.0-baseline
2026-07-09T09:00:48,C-13-01,SKU-1050,0.901,v1.0-baseline
2026-07-09T09:00:49,D-13-02,SKU-1051,0.915,v1.0-baseline
2026-07-09T09:00:50,A-14-03,SKU-1052,0.978,v1.0-baseline
2026-07-09T09:00:51,B-14-04,SKU-1053,0.977,v1.0-baseline
2026-07-09T09:00:52,C-14-05,SKU-1054,0.93,v1.0-baseline
2026-07-09T09:00:53,D-14-01,SKU-1055,0.913,v1.0-baseline
2026-07-09T09:00:54,A-15-02,SKU-1056,0.888,v1.0-baseline
2026-07-09T09:00:55,B-15-03,SKU-1057,0.896,v1.0-baseline
2026-07-09T09:00:56,C-15-04,SKU-1058,0.962,v1.0-baseline
2026-07-09T09:00:57,D-15-05,SKU-1059,0.885,v1.0-baseline
2026-07-09T09:00:58,A-16-01,SKU-1060,0.881,v1.0-baseline
2026-07-09T09:00:59,B-16-02,SKU-1061,0.933,v1.0-baseline
2026-07-09T09:01:00,C-16-03,SKU-1062,0.976,v1.0-baseline
2026-07-09T09:01:01,D-16-04,SKU-1063,0.947,v1.0-baseline
2026-07-09T09:01:02,A-17-05,SKU-1064,0.969,v1.0-baseline
2026-07-09T09:01:03,B-17-01,SKU-1065,0.938,v1.0-baseline
2026-07-09T09:01:04,C-17-02,SKU-1066,0.893,v1.0-baseline
2026-07-09T09:01:05,D-17-03,SKU-1067,0.929,v1.0-baseline
2026-07-09T09:01:06,A-18-04,SKU-1068,0.93,v1.0-baseline
2026-07-09T09:01:07,B-18-05,SKU-1069,0.903,v1.0-baseline
2026-07-09T09:01:08,C-18-01,SKU-1070,0.894,v1.0-baseline
2026-07-09T09:01:09,D-18-02,SKU-1071,0.97,v1.0-baseline
