timestamp,shelf_id,detected_sku,confidence,software_version
2026-07-09T09:00:00,A-01-01,SKU-1000,0.904,v1.1-candidate
2026-07-09T09:00:01,B-01-02,SKU-1001,0.942,v1.1-candidate
2026-07-09T09:00:02,C-01-03,SKU-WRONG-49,0.905,v1.1-candidate
2026-07-09T09:00:03,A-02-05,SKU-1004,0.925,v1.1-candidate
2026-07-09T09:00:04,B-02-01,SKU-1005,0.936,v1.1-candidate
2026-07-09T09:00:05,C-02-02,SKU-1006,0.691,v1.1-candidate
2026-07-09T09:00:06,D-02-03,SKU-1007,0.915,v1.1-candidate
2026-07-09T09:00:07,A-03-04,SKU-1008,0.981,v1.1-candidate
2026-07-09T09:00:08,B-03-05,SKU-1009,0.94,v1.1-candidate
2026-07-09T09:00:09,C-03-01,SKU-1010,0.982,v1.1-candidate
2026-07-09T09:00:10,C-03-01,SKU-1010,0.982,v1.1-candidate
2026-07-09T09:00:11,D-03-02,SKU-1011,0.901,v1.1-candidate
2026-07-09T09:00:12,A-04-03,SKU-1012,0.918,v1.1-candidate
2026-07-09T09:00:13,B-04-04,SKU-1013,0.944,v1.1-candidate
2026-07-09T09:00:14,C-04-05,SKU-1014,0.941,v1.1-candidate
2026-07-09T09:00:15,D-04-01,SKU-1015,0.978,v1.1-candidate
2026-07-09T09:00:16,A-05-02,SKU-1016,0.975,v1.1-candidate
2026-07-09T09:00:17,B-05-03,SKU-1017,0.727,v1.1-candidate
2026-07-09T09:00:18,C-05-04,SKU-1018,0.988,v1.1-candidate
2026-07-09T09:00:19,D-05-05,SKU-1019,0.925,v1.1-candidate
2026-07-09T09:00:20,A-06-01,SKU-1020,0.937,v1.1-candidate
2026-07-09T09:00:21,B-06-02,SKU-1021,0.895,v1.1-candidate
2026-07-09T09:00:22,C-06-03,SKU-1022,0.916,v1.1-candidate
2026-07-09T09:00:23,D-06-04,SKU-1023,0.965,v1.1-candidate
2026-07-09T09:00:24,A-07-05,SKU-1024,0.944,v1.1-candidate
2026-07-09T09:00:25,B-07-01,SKU-1025,0.914,v1.1-candidate
2026-07-09T09:00:26,C-07-02,SKU-1026,0.886,v1.1-candidate
2026-07-09T09:00:27,D-07-03,SKU-1027,0.962,v1.1-candidate
2026-07-09T09:00:28,A-08-04,SKU-1028,0.978,v1.1-candidate
2026-07-09T09:00:29,B-08-05,SKU-1029,0.969,v1.1-candidate
2026-07-09T09:00:30,C-08-01,SKU-1030,0.969,v1.1-candidate
